Epoch,Train Loss,Val Loss,SSIM,PSNR
3126,213.2607115966797,210.32398889160157,0.642022676769484,13.074354653133542
3127,214.91152717285155,211.92763518066405,0.635670309113995,12.996133509601027
3128,214.80268793945314,212.32420517578126,0.634233095613391,12.891746235768176
3129,214.8706565917969,212.398573828125,0.6352298117547931,12.951614925097386
3130,214.7987079345703,212.6240701171875,0.631275986930151,12.911407877381246
3131,214.78936157226562,212.61350678710937,0.6321603002027474,12.959143541803407
3132,214.79979580078125,212.78263288574217,0.627077759425364,12.94074739682662
3133,214.82101804199218,212.90161513671876,0.630670606919729,12.94834972815784
3134,214.78170603027343,212.62604389648436,0.6326832742379789,12.91145114773739
3135,214.7531171875,212.95682280273437,0.6305510504513167,12.94662950945584
3136,214.77475490722657,212.51887275390624,0.6361483840839904,12.99001400671671
3137,214.75574621582032,212.68887902832032,0.6319239322043693,12.982563810186125
3138,214.73339814453124,212.81797893066405,0.631479234680855,12.976179459788868
